partner,domain,logo_url,file,success
Generali,generali.com,https://logo.clearbit.com/generali.com,Generali.png,TRUE
ASC,asc.es,https://logo.clearbit.com/asc.es,ASC.png,TRUE
Aegon,aegon.com,https://logo.clearbit.com/aegon.com,Aegon.png,TRUE
Plus_Ultra,plusultra.es,https://logo.clearbit.com/plusultra.es,Plus_Ultra.png,TRUE
Igualatorio_Medico_Quirurgico,imq.es,https://logo.clearbit.com/imq.es,Igualatorio_Medico_Quirurgico.png,TRUE
Medifiatc,fiatc.es,https://logo.clearbit.com/fiatc.es,Medifiatc.png,TRUE
Nueva_Mutua_Sanitaria,nuevamutuasanitaria.es,https://logo.clearbit.com/nuevamutuasanitaria.es,Nueva_Mutua_Sanitaria.png,TRUE
Axa,axa.com,https://logo.clearbit.com/axa.com,Axa.png,TRUE
Mapfre,mapfre.com,https://logo.clearbit.com/mapfre.com,Mapfre.png,TRUE
Adeslas,adeslas.es,https://logo.clearbit.com/adeslas.es,Adeslas.png,TRUE
Cigna,cigna.com,https://logo.clearbit.com/cigna.com,Cigna.png,TRUE
Asisa,asisa.es,https://logo.clearbit.com/asisa.es,Asisa.png,TRUE
BUPA,bupa.com,https://logo.clearbit.com/bupa.com,BUPA.png,TRUE
Asistencia_Sanitaria,asistenciasanitaria.com,https://logo.clearbit.com/asistenciasanitaria.com,Asistencia_Sanitaria.png,FALSE
Caser,caser.es,https://logo.clearbit.com/caser.es,Caser.png,TRUE
Sanitas,sanitas.es,https://logo.clearbit.com/sanitas.es,Sanitas.png,TRUE
DKV,dkv.es,https://logo.clearbit.com/dkv.es,DKV.png,TRUE
Vivaz,vivaz.es,https://logo.clearbit.com/vivaz.es,Vivaz.png,TRUE
Generali,generali.com,https://logo.clearbit.com/generali.com,Generali.png,TRUE
ASC,asc.es,https://logo.clearbit.com/asc.es,ASC.png,TRUE
Aegon,aegon.com,https://logo.clearbit.com/aegon.com,Aegon.png,TRUE
Plus_Ultra,plusultra.es,https://logo.clearbit.com/plusultra.es,Plus_Ultra.png,TRUE
Igualatorio_Medico_Quirurgico,imq.es,https://logo.clearbit.com/imq.es,Igualatorio_Medico_Quirurgico.png,TRUE
Medifiatc,fiatc.es,https://logo.clearbit.com/fiatc.es,Medifiatc.png,TRUE
Nueva_Mutua_Sanitaria,nuevamutuasanitaria.es,https://logo.clearbit.com/nuevamutuasanitaria.es,Nueva_Mutua_Sanitaria.png,TRUE
Axa,axa.com,https://logo.clearbit.com/axa.com,Axa.png,TRUE
Mapfre,mapfre.com,https://logo.clearbit.com/mapfre.com,Mapfre.png,TRUE
Adeslas,adeslas.es,https://logo.clearbit.com/adeslas.es,Adeslas.png,TRUE
Cigna,cigna.com,https://logo.clearbit.com/cigna.com,Cigna.png,TRUE
Asisa,asisa.es,https://logo.clearbit.com/asisa.es,Asisa.png,TRUE
BUPA,bupa.com,https://logo.clearbit.com/bupa.com,BUPA.png,TRUE
Asistencia_Sanitaria,asistenciasanitaria.com,https://logo.clearbit.com/asistenciasanitaria.com,Asistencia_Sanitaria.png,FALSE
Caser,caser.es,https://logo.clearbit.com/caser.es,Caser.png,TRUE
Sanitas,sanitas.es,https://logo.clearbit.com/sanitas.es,Sanitas.png,TRUE
DKV,dkv.es,https://logo.clearbit.com/dkv.es,DKV.png,TRUE
Vivaz,vivaz.es,https://logo.clearbit.com/vivaz.es,Vivaz.png,TRUE
